#,Player Name,Team Abbreviation
1,Kylian Mbappe,FRA
2,Harry Kane,ENG
3,Lionel Messi,ARG
4,Erling Haaland,NOR
5,Lamine Yamal,ESP
6,Cristiano Ronaldo,POR
7,Ousmane Dembele,FRA
8,Nick Woltemade,GER
9,Lautaro Martinez,ARG
10,Vinicius Junior,BRA
11,Romelu Lukaku,BEL
12,Raphinha,BRA
13,Mikel Oyarzabal,ESP
14,Julian Alvarez,ARG
15,Alvaro Morata,ESP
16,Richarlison,BRA
17,Joao Pedro,BRA
18,Cody Gakpo,NED
19,Bukayo Saka,ENG
20,Memphis Depay,NED
21,Jean-Philippe Mateta,FRA
22,Jude Bellingham,ENG
23,Ferran Torres,ESP
24,Cole Palmer,ENG
25,Goncalo Ramos,POR
26,Florian Wirtz,GER
27,Marcus Thuram,FRA
28,Neymar,BRA
29,Enner Valencia,ECU
30,Bruno Fernandes,POR
31,Luis Diaz,COL
32,Estevao Willian,BRA
33,Desire Doue,FRA
34,Mohamed Salah,EGY
35,Mikel Merino,ESP
36,Kai Havertz,GER
37,Dani Olmo,ESP
38,Donyell Malen,NED
39,Morgan Rogers,ENG
40,Santiago Gimenez,MEX
41,Darwin Nunez,URU
42,Eberechi Eze,ENG
43,Lois Openda,BEL
44,Phil Foden,ENG
45,Jamal Musiala,GER
46,Leandro Trossard,BEL
47,Marcus Rashford,ENG
48,Borja Iglesias,ESP
49,Matheus Cunha,BRA
50,Alexander Sorloth,NOR
51,Folarin Balogun,USA
52,Kevin De Bruyne,BEL
53,Christian Pulisic,USA
54,Anthony Gordon,ENG
55,Rafael Leao,POR
56,Jeremy Doku,BEL
57,Sadio Mane,SEN
58,Leroy Sane,GER
59,Jhon Duran,COL
60,Raul Jimenez,MEX
61,Omar Marmoush,EGY
62,Arda Guler,TUR
63,Mohammed Kudus,GHA
64,Nicolas Jackson,SEN
65,Jonathan David,CAN
66,Kenan Yildiz,TUR
67,Pedro Neto,POR
68,Haji Wright,USA
69,Nico Williams,ESP
70,Ricardo Pepi,USA
71,Scott McTominay,SCO
72,Breel Embolo,SUI
73,Ismaila Sarr,SEN
74,Hamza Igamane,MAR
75,Noa Lang,NED
76,Hirving Lozano,MEX
77,Kang-In Lee,KOR
78,Enzo Fernandez,ARG
79,Jorgen Strand Larsen,NOR
80,Riyad Mahrez,ALG
81,James Rodriguez,COL
82,Brahim Diaz,MAR
83,Andrej Kramaric,CRO
84,Jhon Arias,COL
85,Pedri,ESP
86,Che Adams,SCO
87,Chris Wood,NZL
88,Oscar Bobb,NOR
89,Cyle Larin,CAN
90,Martin Odegaard,NOR
91,Daizen Maeda,JPN
92,Takumi Minamino,JPN
93,Giovanni Reyna,USA
94,Julio Enciso,PAR
95,Achraf Hakimi,MAR
96,Brenden Aaronson,USA
97,Son Heung-Min,KOR
98,Xavi Simons,NED
99,Wout Weghorst,NED
100,Tijjani Reijnders,NED
101,Luka Modric,CRO
102,John McGinn,SCO
103,Kaoru Mitoma,JPN
104,Federico Valverde,URU
105,Alexander Isak,SWE
106,Viktor Gyokeres,SWE
107,Niclas Fullkrug,GER
108,Michael Olise,FRA
109,Bradley Barcola,FRA
110,Kingsley Coman,FRA
111,Randal Kolo Muani,FRA
112,Luis Suarez,URU
113,Other / Someone Else,---